id,question,answer,category,created_at,updated_at
02e92fb7-7440-48c1-b8aa-42af3b7872e2,كم تستغرق مدة تصميم الموقع؟,2-4 أسابيع حسب التعقيد,web-development,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
1198c659-cfbe-4a99-b2f7-c9496aa92b14,ما هي طرق الدفع المتاحة؟,الدفع نقدًا، تحويل بنكي، أو عبر Paymob (بطاقات ائتمان/خصم) في مصر. وفي السعودية تحويل بنكي أو عبر PayPal.,packages,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
19cb741d-3aa2-486e-bb6c-331a82ff32e0,ماذا لو لم يعجبني التصميم الأولي؟,نعمل على التعديل حتى تحقيق رضاك,branding,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
21e9bf73-5c43-4e00-bbb7-4f6b9f65a1c8,هل يمكنني استخدام الشعار على جميع المنصات؟,نعم، نسقنا لك جميع الصيغ,branding,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
323a852e-d52c-40d3-b3a5-c39e17c9b1e1,ما المعلومات التي يجب أن أقدمها عند التواصل؟,يُفضل أن تخبرنا بنبذة عن مشروعك، أهدافك، الجمهور المستهدف، والموعد النهائي الذي تطمح إليه. كلما زادت التفاصيل، استطعنا مساعدتك بشكل أفضل.,contact,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
367d02ed-6bfe-4733-8107-c4ddcdc93501,ما هي ضمانات الاستمرارية بعد التسليم؟,دعم فني لمدة 3 أشهر,web-development,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
4547c75c-0b24-4945-8df6-87c4a6d1b106,ما هي مدة التنفيذ؟,المدة موضحة في كل باقة. نحرص دائمًا على التسليم في الوقت المتفق عليه.,packages,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
53c3c027-db55-4307-ad7b-ce56e2ee9b87,ما هي مدة الرد على استفساري؟,نرد على جميع الاستفسارات عبر البريد والهاتف خلال 24 ساعة خلال أيام العمل (من الأحد إلى الخميس).,contact,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
54aa2efc-4970-415c-b253-76bf4f2a6f77,كيف تقيسون نجاح الحملة؟,بمؤشرات مثل ROAS، تكلفة التحويل، معدل النقر,ads,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
66f18333-0c98-40ca-8848-18633b6d1ca6,هل تقدمون استشارة مجانية؟,نعم! نحن نقدم استشارة مجانية أولية لتفهم مشروعك وتقديم الحلول والاقتراحات المناسبة له.,contact,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
6a9f4213-f683-4a51-9a73-625db9d85aac,هل سأتمكن من تحديث الموقع بنفسي؟,نعم، مع لوحة تحكم سهلة,web-development,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
7e13dd82-5d63-4ea8-9f99-eec78f94a721,هل تتحملون الإدارة بميزانية محدودة؟,نعم، لدينا باقات تناسب الجميع,ads,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
8e579074-64d4-4cd6-9290-fd8401e32f7e,كم من الوقت تستغرق عملية التصميم؟,10-14 يوم عمل,branding,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
99824de7-9392-49b7-84cd-0b8102dff072,هل يمكنني تخصيص الباقة؟,بالتأكيد! جميع الباقات قابلة للتخصيص. اختر الباقة الأقرب لاحتياجك وأخبرنا بما تريد إضافته أو إزالته وسنعدل السعر بناءً عليه.,packages,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
da53fc32-e006-4aa3-8bee-8f7dfc698ae6,كم الميزانية المناسبة للبدء؟,"ننصح بـ 3,000 جنيه للبدء بشكل فعال",ads,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
de0bf4c7-9979-4826-95c4-9bac6221e6ae,كيف أختار الباقة المناسبة لي؟,إذا كنت في البداية، ننصحك بالباقة الأساسية. إذا كان لديك عمل قائم وتريد تطويره، فالباقة المتقدمة هي الخيار الأمثل. للشركات الكبيرة، نوصي بالاتصال بنا لمناقشة احتياجاتك الخاصة.,packages,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00
dea24b02-9ad9-4ac4-b48a-783453a2c93f,كيف أتابع حالة مشروعي بعد البدء؟,سيتم تعيين مدير مشروع خاص بك سيكون نقطة التواصل الأساسية وسيقدم لك تقارير أسبوعية عن سير العمل.,contact,2025-09-14 14:06:00.111509+00,2025-09-14 14:06:00.111509+00