id,title,description,price,category,created_at,updated_at
0c9d9eaa-4640-4c88-a3b4-2c93af6d6bf0,اختيار الخطوط (Typography),الخط هو صوت العلامة البصرية. نختار خطوطًا احترافية تعكس هويتك سواء رسمية، عصرية، أو ودودة، لتظهر علامتك بشكل متسق في كل مكان.,500 ج.م,branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
14e2def7-469c-47d3-a389-07961deb6996,تصميم إعلانات (Ad Creatives),تصميم احترافي للإعلانات يعزز فرص الضغط والتفاعل ويزيد من معدلات التحويل.,300 ج.م للإعلان,ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
159207e0-94ce-4097-9c2d-d61bffcd1b79,إدارة حملات مبيعات/تحويلات,حملات مركزة على تحقيق العائد، حيث الهدف الأساسي هو زيادة المبيعات والتحويلات لا مجرد المشاهدات.,"2,000 – 3,000 ج.م + ميزانية الإعلان",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
17aee520-8398-48ac-81fb-f5ebac5c79bc,إعداد الحملات,تصميم حملات إعلانية احترافية تحقق أفضل توازن بين الوصول والتكلفة، مع إعداد متكامل للأهداف.,"1,500 ج.م",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
2cc33d8a-c795-40f1-85e8-dcd95d4154b5,تحسين الأداء,تحسين سرعة الموقع وأدائه لرفع تجربة المستخدم وزيادة فرص الظهور في محركات البحث.,"1,500 – 3,000 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
2d7be060-fa45-493d-9b30-68a93ed6e9fa,إعداد خطة محتوى (Content Calendar),خطة محتوى استراتيجية تضمن حضورك المستمر، مرتبطة بالمواسم والعروض، وتبني علاقة دائمة مع الجمهور.,"1,500 ج.م / شهري",social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
33d1b871-b6d0-40b8-bb66-bdb8bfc15f7a,أبحاث الجمهور,دراسة دقيقة للجمهور تضمن استهداف الأشخاص الأكثر اهتمامًا بما تقدمه، مما يقلل التكاليف ويزيد النتائج.,"1,000 ج.م",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
45faae03-af28-468c-a685-115cee82df86,تصميم شعار رمزي (Iconic),رمز بصري بسيط وقوي يرسّخ علامتك التجارية في ذهن العملاء حتى دون الحاجة لقراءة الاسم. مثالي للتطبيقات والمنصات الرقمية أو البراندات التي تسعى لبناء هوية قوية يسهل تمييزها.,"2,000 ج.م",branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
4fad5c29-358f-4a95-afdb-3c41122a30a6,تصميم كروت شخصية (Business Cards),بطاقة أنيقة تحمل هويتك البصرية وتترك انطباعًا مهنيًا في أي لقاء. أداة صغيرة تصنع فرقًا كبيرًا في صورة شركتك.,500 ج.م,branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
5d7427d4-dac7-4690-b64e-152ff56aee1a,تصميم بوست ثابت,تصميم بصري جذاب يلفت الانتباه وسط زحام المحتوى ويحفّز الجمهور على التفاعل.,200 ج.م,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
648bae8a-ad11-427c-a02c-df378a0ebeb2,كتابة نصوص إعلانية (Ad Copy),كلمات مختصرة وقوية تشجع الجمهور على التفاعل أو الشراء فورًا.,200 ج.م للنص,ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
74470c83-0a9f-4d82-a401-07dc55b1fd5d,تصميم غلاف وصورة بروفايل,مظهر صفحتك هو أول انطباع يراه العميل. غلاف وبروفايل متناسق مع الهوية يعكس احترافية ويجذب الثقة.,500 ج.م,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
7f805dd9-5743-45ac-884b-92434ed76d73,تصميم فيديو قصير (Reel/TikTok),فيديو قصير بإيقاع سريع ورسالة واضحة، يرفع من فرص الوصول والمشاركة ويجعل علامتك أقرب للجمهور العصري.,"1,000 – 1,500 ج.م",social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
8015a9ec-a81b-4d02-8e6d-956f9cac9cd4,تحسين SEO أساسي,ضبط أساسي لمحركات البحث يضمن ظهور موقعك بشكل أفضل في النتائج العضوية.,"1,500 – 2,500 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
8306c0d7-1a4f-4889-95d6-c8c1eaa8b3ac,تصميم بروفايل شركة PDF,ملف تعريفي احترافي يحكي قصة شركتك، خدماتك، وإنجازاتك بتصميم بصري يعكس مصداقية عالية. مثالي للاجتماعات والتعاقدات الجديدة.,"2,500 – 6,000 ج.م",branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
85cd7537-8005-4702-a1e8-ab7294eebe6c,برمجة حلول مخصصة,تطوير أنظمة وحلول مخصصة لاحتياجاتك الخاصة، مع مرونة كاملة في التنفيذ.,"يبدأ من 10,000 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
90fca502-cdf0-4101-9420-15106d65decd,تصميم شعار مدمج (Combination),مزيج متوازن بين النص والرمز يمنحك هوية بصرية مرنة ومتكاملة. شعار يناسب المواقع، السوشيال ميديا، والمطبوعات، ويجمع بين وضوح الاسم وقوة الرمز.,"2,500 – 3,500 ج.م",branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
935f37dd-0130-4532-8820-e663b6b2f543,إدارة حملات زيادة متابعين/تفاعل/ترافيك,إدارة مدروسة تضمن نمو متسق لصفحتك وزيادة التفاعل أو الزيارات لموقعك بشكل فعّال ومضمون.,"1,500 – 2,500 ج.م + ميزانية الإعلان",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
9f2b9c03-e9d9-4ee4-8e0b-931e04b5d74d,تصميم شعار نصي (Wordmark),شعار نصي أنيق يعكس اسم مشروعك بلمسة عصرية مدروسة. نركز على قوة الكلمة نفسها بخط متناسق يجعل اسمك سهل التذكر والتطبيق في جميع القنوات. مثالي للشركات الناشئة التي تريد الانطلاق بهوية واضحة.,"1,500 ج.م",branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
abffa7b0-0bf3-4e32-af7c-ea45724b65d0,تحسين بروفايل الصفحة,من كتابة البايو إلى تنظيم الـ Highlights. نرتّب حسابك ليظهر بشكل منظم وجذاب يعكس الثقة.,700 ج.م,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
b01e8e4c-da00-452a-a2ce-b416337c3a02,ربط الموقع بقاعدة بيانات / APIs,تكامل متطور يربط موقعك بالتطبيقات أو الخدمات الخارجية لتبسيط عملياتك.,"2,500 – 4,000 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
b75d43a8-71ba-4d74-ba52-ebc8c9c25cb3,تصميم أوراق رسمية (Letterhead + Envelopes),أوراق رسمية تعكس ثبات هوية شركتك وتزيد من ثقة عملائك في كل تواصل مكتوب. مظهر منظم واحترافي يعزز صورتك.,800 ج.م,branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
bcdcd226-482c-42c1-945c-87e719440567,اختيار لوحة ألوان (Color Palette),الألوان تبني الانطباع الأول وتؤثر على مشاعر العميل. نضع لك لوحة ألوان متناسقة تعكس شخصية علامتك وتجعلك مميزًا وسط المنافسين.,700 ج.م,branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
be85741b-00c5-411d-8eec-0b70368d2e87,ستوريز متناسقة,ستوري مصمم بشكل متسق مع الهوية البصرية يضمن بقاء علامتك في ذهن المتابعين بشكل احترافي.,150 ج.م للواحدة,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
cbea3aee-52ed-4d8f-baf4-5b8fbfe9c4b8,دعم فني وصيانة,متابعة وصيانة مستمرة لضمان عمل موقعك بكفاءة واستقرار على مدار الساعة.,"1,000 – 2,000 ج.م / شهري",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
d2f8bc23-f2a7-4f74-9c06-90535660ebae,إعداد حسابات الإعلانات (BM + Pixel + Catalog),تجهيز تقني دقيق لحساباتك يضمن تتبع النتائج وتحقيق أقصى استفادة من ميزانيتك الإعلانية.,"1,200 ج.م",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
d43df77e-3fd6-428a-b2ad-efcfe09288d7,كتابة محتوى تسويقي للبوستات,نصوص مقنعة قصيرة ومباشرة، تحوّل المتابعين من مجرد قارئين إلى عملاء فعليين.,150 ج.م للبوست,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
dc8ffa03-0651-43ad-ba17-6ad83c0f1108,متابعة التحليلات والتقارير,متابعة شاملة للأداء مع تقارير واضحة وتعديلات مستمرة لتحسين العائد على الاستثمار.,"1,500 ج.م / شهري",ads,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
e55fc08c-698b-4d23-9449-cdb14e14e703,قوالب بوستات (Canva/PSD),قوالب جاهزة قابلة للتعديل تحافظ على اتساق الهوية وتوفر وقتك، مع مرونة لابتكار محتوى يومي بسهولة.,"1,000 ج.م (5 قوالب)",social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
ea0a3739-4358-4f1f-8056-e8480328405b,حماية وأمان,إعدادات أمان متقدمة لحماية بياناتك وزوارك من أي تهديدات محتملة.,"1,000 – 2,500 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
ec0273f0-b118-4d56-8f8c-1123a5f2d424,تصميم بروشور/كاتالوج,كتالوج أو بروشور مصمم بعناية يعرض منتجاتك أو خدماتك بشكل مرتب وبصري جذاب. أداة فعالة لزيادة الوعي بالعلامة وتحفيز المبيعات.,"1,500 – 4,000 ج.م",branding,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
f262c6c6-3950-4c0b-bc27-ea863e6bf015,تصميم بوست متحرك (Animated/GIF),الرسوم المتحركة تضاعف فرص جذب الانتباه. مثالية للعروض، الخصومات، والمحتوى التفاعلي.,500 ج.م,social-media,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00
f6afd3b7-ed36-410a-b222-f70553647ea5,تصميم Landing Page,صفحة هبوط مصممة خصيصًا لحملاتك الإعلانية بهدف تحويل الزوار إلى عملاء مباشرة.,"3,000 – 5,000 ج.م",web-development,2025-09-16 11:27:14.343958+00,2025-09-16 13:25:58.766271+00